,key,year,state_abbr,state,ethnicity,percentage
273,2015VA,2015,VA,Virginia,Hispanic,1.0
274,2015VA,2015,VA,Virginia,Native,N/A
275,2015VA,2015,VA,Virginia,Other,N/A
276,2015VT,2015,VT,Vermont,Black,N/A
277,2015VT,2015,VT,Vermont,White,0.0
278,2015VT,2015,VT,Vermont,Asian,N/A
279,2015VT,2015,VT,Vermont,Hispanic,N/A
280,2015VT,2015,VT,Vermont,Native,N/A
281,2015VT,2015,VT,Vermont,Other,N/A
282,2015WA,2015,WA,Washington,Black,N/A
283,2015WA,2015,WA,Washington,White,0.08333333333333333
284,2015WA,2015,WA,Washington,Asian,0.0
285,2015WA,2015,WA,Washington,Hispanic,1.0
286,2015WA,2015,WA,Washington,Native,1.0
287,2015WA,2015,WA,Washington,Other,0.0
288,2015WI,2015,WI,Wisconsin,Black,0.5
289,2015WI,2015,WI,Wisconsin,White,0.0
290,2015WI,2015,WI,Wisconsin,Asian,N/A
291,2015WI,2015,WI,Wisconsin,Hispanic,0.0
292,2015WI,2015,WI,Wisconsin,Native,N/A
293,2015WI,2015,WI,Wisconsin,Other,N/A
294,2015WV,2015,WV,West Virginia,Black,0.0
295,2015WV,2015,WV,West Virginia,White,0.0
296,2015WV,2015,WV,West Virginia,Asian,N/A
297,2015WV,2015,WV,West Virginia,Hispanic,N/A
298,2015WV,2015,WV,West Virginia,Native,N/A
299,2015WV,2015,WV,West Virginia,Other,N/A
300,2015WY,2015,WY,Wyoming,Black,N/A
301,2015WY,2015,WY,Wyoming,White,0.0
302,2015WY,2015,WY,Wyoming,Asian,N/A
303,2015WY,2015,WY,Wyoming,Hispanic,N/A
304,2015WY,2015,WY,Wyoming,Native,0.0
305,2015WY,2015,WY,Wyoming,Other,N/A
306,2016AK,2016,AK,Alaska,Black,N/A
307,2016AK,2016,AK,Alaska,White,0.0
308,2016AK,2016,AK,Alaska,Asian,N/A
309,2016AK,2016,AK,Alaska,Hispanic,N/A
310,2016AK,2016,AK,Alaska,Native,0.0
311,2016AK,2016,AK,Alaska,Other,N/A
312,2016AL,2016,AL,Alabama,Black,0.0
313,2016AL,2016,AL,Alabama,White,0.0
314,2016AL,2016,AL,Alabama,Asian,N/A
315,2016AL,2016,AL,Alabama,Hispanic,N/A
316,2016AL,2016,AL,Alabama,Native,N/A
317,2016AL,2016,AL,Alabama,Other,N/A
318,2016AR,2016,AR,Arkansas,Black,0.0
319,2016AR,2016,AR,Arkansas,White,0.0
320,2016AR,2016,AR,Arkansas,Asian,N/A
321,2016AR,2016,AR,Arkansas,Hispanic,N/A
322,2016AR,2016,AR,Arkansas,Native,N/A
323,2016AR,2016,AR,Arkansas,Other,N/A
324,2016AZ,2016,AZ,Arizona,Black,0.5
325,2016AZ,2016,AZ,Arizona,White,0.05
326,2016AZ,2016,AZ,Arizona,Asian,N/A
327,2016AZ,2016,AZ,Arizona,Hispanic,0.11764705882352941
328,2016AZ,2016,AZ,Arizona,Native,0.0
329,2016AZ,2016,AZ,Arizona,Other,N/A
330,2016CA,2016,CA,California,Black,0.14285714285714285
331,2016CA,2016,CA,California,White,0.046511627906976744
