manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,unarmed,31,M,White,Joplin,MO,Not fleeing,FALSE,Unarmed,2019
shot,gun,51,M,Black,Clinton,TN,Not fleeing,FALSE,Guns,2019
shot,gun,37.1179309,M,White,Louisville,KY,Not fleeing,FALSE,Guns,2019
shot,gun,51,M,Black,Kansas City,KS,Not fleeing,FALSE,Guns,2019
shot,vehicle,20,M,White,Ramseur,NC,Car,FALSE,Vehicles,2019
shot,knife,26,M,Hispanic,Ogden,UT,Not fleeing,TRUE,Sharp objects,2019
shot,gun,25,M,Black,Gary,IN,Not fleeing,FALSE,Guns,2019
shot,gun,37.1179309,M,Black,Newport News,VA,Car,FALSE,Guns,2019
shot,gun,62,M,White,Springville,IN,Not fleeing,FALSE,Guns,2019
shot,gun,27,M,Black,Dallas,TX,Car,TRUE,Guns,2019
shot,gun,33,M,Hispanic,Los Angeles,CA,Foot,TRUE,Guns,2019
shot,gun,39,M,Hispanic,Los Angeles,CA,Foot,FALSE,Guns,2019
shot,gun,18,M,Black,Fort Worth,TX,Foot,TRUE,Guns,2019
shot,unknown,27,M,White,Nicholasville,KY,Not fleeing,FALSE,Unknown,2019
shot,unknown,50,M,Hispanic,Stanton,CA,Other,FALSE,Unknown,2019
shot,toy weapon,57,M,White,Albuquerque,NM,Not fleeing,FALSE,Other unusual objects,2019
shot,Taser,29,M,Black,Dayton,OH,Foot,FALSE,Electrical devices,2019
shot,unarmed,39,M,White,Glennville,GA,Not fleeing,FALSE,Unarmed,2019
shot,unarmed,31,M,White,West Valley City,UT,Not fleeing,TRUE,Unarmed,2019
shot,knife,34,M,White,Cottage Grove,OR,Not fleeing,FALSE,Sharp objects,2019
shot,shovel,52,M,Hispanic,El Cerrito,CA,Not fleeing,TRUE,Blunt instruments,2019
shot,unarmed,33,M,Black,Knoxville,TN,Not fleeing,FALSE,Unarmed,2019
shot,gun,37,M,Black,Helena,AR,Other,FALSE,Guns,2019
shot,gun,52,M,Black,Baton Rouge,LA,Car,FALSE,Guns,2019
shot,knife,62,M,Black,Gordo,AL,Other,FALSE,Sharp objects,2019
shot,gun and car,30,M,Black,Baltimore,MD,Car,FALSE,Multiple,2019
shot,knife,28,M,White,Salina,KS,Not fleeing,FALSE,Sharp objects,2019
shot,gun and vehicle,51,M,Hispanic,Tolleson,AZ,Other,FALSE,Multiple,2019
shot,gun,23,M,Black,St. Louis,MO,Foot,FALSE,Guns,2019
shot,gun,36,M,White,Odessa,TX,Car,FALSE,Guns,2019
shot,gun,37,M,Hispanic,Denver,CO,Not fleeing,FALSE,Guns,2019
shot,vehicle,49,M,White,Sand Springs,OK,Car,TRUE,Vehicles,2019
shot,gun,49,M,White,Caldwell,ID,Not fleeing,FALSE,Guns,2019
shot,grenade,35,M,White,Missoula,MT,Not fleeing,FALSE,Explosives,2019
shot,knife,17,M,White,Kerrville,TX,Not fleeing,FALSE,Sharp objects,2019
shot,gun,30,M,White,Bluff City,TN,Car,FALSE,Guns,2019
shot,vehicle,34,M,Hispanic,Kaukauna,WI,Car,FALSE,Vehicles,2019
shot,vehicle,46,M,White,Van Wert,OH,Car,FALSE,Vehicles,2019
shot,knife,29,M,White,Coeur d'Alene,ID,Not fleeing,FALSE,Sharp objects,2019
shot,gun,28,M,Black,St. Louis,MO,Not fleeing,FALSE,Guns,2019
shot,unarmed,43,M,White,East Hartford,CT,Not fleeing,FALSE,Unarmed,2019
shot,gun,42,M,Black,Glendora,CA,Foot,FALSE,Guns,2019
shot,knife,30,M,Hispanic,Richfield,MN,Car,FALSE,Sharp objects,2019
shot,toy weapon,24,M,Black,Tacoma,WA,Foot,FALSE,Other unusual objects,2019
shot,gun,27,M,Black,Oklahoma City,OK,Other,TRUE,Guns,2019
